,pseudotime,branch_gate,lineage,branch_index,batch,library_size_factor,cell_cycle_score,stress_score,spatial_x,spatial_y
cell_02502,0.95049626,0.9999939,Excitatory_Neuron,0,Batch_3,1.0962794,7.932612e-05,0.7478026,0.9349227,1.1260406
cell_02503,0.8291505,0.9999311,Inhibitory_Neuron,1,Batch_1,1.199388,0.03679086,0.5465385,0.6710756,1.1345254
cell_02504,0.27719814,0.18907417,NPC,-1,Batch_1,1.0478613,2.6297753,0.8641451,0.92909837,0.42420048
cell_02505,0.053325083,0.0026421985,NPC,-1,Batch_2,0.8161507,0.33383483,0.87412286,0.9721861,0.06770426
cell_02506,0.9403514,0.99999255,Microglia,4,Batch_1,1.2758427,0.0064965,0.6212113,0.547008,1.5949494
cell_02507,0.93706274,0.999992,Inhibitory_Neuron,1,Batch_2,0.8344648,0.004401946,0.8310834,0.609889,1.3416252
cell_02508,0.53241533,0.97462547,Inhibitory_Neuron,1,Batch_1,1.0876904,1.7613103,0.75211024,0.6563649,0.8253885
cell_02509,0.6423174,0.9971179,Microglia,4,Batch_1,0.94397986,0.067382514,0.5401955,0.839169,1.3100221
cell_02510,0.46260005,0.904823,Inhibitory_Neuron,1,Batch_2,0.9645718,0.5418674,0.7411073,0.6590717,0.65008575
cell_02511,0.41976535,0.80143815,Excitatory_Neuron,0,Batch_3,0.71715915,2.2731926,0.8904228,0.114647426,0.47372705
cell_02512,0.11944844,0.009843699,NPC,-1,Batch_2,1.2708682,0.21539238,0.6232376,0.94243014,0.0516304
cell_02513,0.0967529,0.006274657,NPC,-1,Batch_1,1.0678669,0.14820978,0.50045633,0.6609343,0.16434932
cell_02514,0.23273215,0.08743553,NPC,-1,Batch_1,0.7916613,2.357877,0.8907167,0.8699173,0.28312844
cell_02515,0.8366408,0.9999407,Inhibitory_Neuron,1,Batch_2,1.1035153,0.055260733,0.6655934,0.42473775,1.0339245
cell_02516,0.1458323,0.016571607,NPC,-1,Batch_2,0.98033935,0.02320497,0.6723731,0.47471637,0.23509113
cell_02517,0.22669865,0.0782744,NPC,-1,Batch_3,1.0673504,0.32196018,0.78504485,0.68885636,0.25517082
cell_02518,0.5486141,0.9815176,Excitatory_Neuron,0,Batch_3,1.0018897,0.02274598,0.7417542,0.77640396,0.64763284
cell_02519,0.21513122,0.06312839,NPC,-1,Batch_3,0.82960296,0.012702447,0.62079465,0.07845871,0.18250899
cell_02520,0.16320668,0.02329681,NPC,-1,Batch_2,0.9013728,0.11689794,0.53999114,0.40734282,0.22045794
cell_02521,0.5633162,0.98616093,OPC,5,Batch_3,0.9300848,0.2738778,0.830945,0.7698564,1.301068
cell_02522,0.36809328,0.5894919,Oligodendrocyte,3,Batch_2,0.74350697,0.00041560477,0.69335085,0.99223596,0.79931253
cell_02523,0.6261593,0.99602276,Astrocyte,2,Batch_1,1.1655309,0.03778949,0.76898974,0.011642451,0.97047925
cell_02524,0.91220534,0.9999869,Excitatory_Neuron,0,Batch_1,0.9883483,0.0094164545,0.84420186,0.26480824,1.2259698
cell_02525,0.15099314,0.018340418,NPC,-1,Batch_3,0.91454256,0.40652,0.50708896,0.46484858,0.12102337
cell_02526,0.9134337,0.99998724,Oligodendrocyte,3,Batch_1,0.84881413,0.0022019926,0.8437541,0.2229417,1.4200486
cell_02527,0.90248996,0.9999841,Oligodendrocyte,3,Batch_2,1.5746956,0.009535989,0.8007181,0.026922198,1.4784008
cell_02528,0.82908756,0.99993104,Excitatory_Neuron,0,Batch_1,1.1429731,0.008028668,0.8787287,0.53954303,0.9441831
cell_02529,0.6312859,0.99640894,OPC,5,Batch_1,1.2084135,0.8448881,0.5934363,0.6493986,1.3031328
cell_02530,0.62014663,0.99551684,Astrocyte,2,Batch_1,0.9468375,0.35099068,0.62896895,0.41606206,1.0407519
cell_02531,0.63921267,0.9969338,Microglia,4,Batch_3,1.0851095,0.14318812,0.7645915,0.36987808,1.2773148
cell_02532,0.69049555,0.99889845,Inhibitory_Neuron,1,Batch_2,0.736068,0.43123037,0.8703172,0.98561054,0.97280157
cell_02533,0.0164822,0.0012663417,NPC,-1,Batch_2,1.2929463,0.14459829,0.8970677,0.4775285,0.028869884
cell_02534,0.9580926,0.99999475,Excitatory_Neuron,0,Batch_1,1.1619046,0.0056361505,0.66669506,0.7980695,1.1151035
cell_02535,0.5856038,0.99109393,Oligodendrocyte,3,Batch_1,1.0076972,1.211337,0.71569186,0.28717417,1.0500909
cell_02536,0.7814658,0.99982125,Microglia,4,Batch_3,1.1842319,0.15184177,0.5682204,0.8301883,1.4138052
cell_02537,0.37728184,0.6331227,Inhibitory_Neuron,1,Batch_2,0.78809917,0.003432769,0.77759016,0.8236997,0.615049
cell_02538,0.012397214,0.0011671113,NPC,-1,Batch_1,1.1811053,0.47918633,0.8349482,0.26770213,0.036169525
cell_02539,0.50973463,0.9606341,Excitatory_Neuron,0,Batch_2,0.8999608,1.1039475,0.81945974,0.65585494,0.56528944
cell_02540,0.5071901,0.9586638,Microglia,4,Batch_1,1.0217726,1.7215356,0.6383372,0.682015,1.1281053
cell_02541,0.43698928,0.85065985,Excitatory_Neuron,0,Batch_2,1.0056821,2.652434,0.8853056,0.44261554,0.44046184
cell_02542,0.33971706,0.44876572,NPC,-1,Batch_2,1.0158141,2.3712907,0.5481386,0.77378005,0.39163938
cell_02543,0.24982609,0.11883821,NPC,-1,Batch_1,1.0888385,0.3916862,0.697588,0.30688527,0.24268888
cell_02544,0.52754486,0.97210175,Inhibitory_Neuron,1,Batch_2,0.8705893,0.88406795,0.72183883,0.48427182,0.7101987
cell_02545,0.37527815,0.6237657,Oligodendrocyte,3,Batch_1,0.8727032,1.1135621,0.71460557,0.9901517,0.90666306
cell_02546,0.9699319,0.9999959,Excitatory_Neuron,0,Batch_1,0.8080623,0.002553899,0.8031563,0.17867567,1.0903846
cell_02547,0.1729273,0.02815548,NPC,-1,Batch_3,0.9704872,1.6883227,0.7438429,0.14778273,0.16655307
cell_02548,0.31966558,0.35281494,NPC,-1,Batch_1,0.9509361,2.2528355,0.5308518,0.14219868,0.40911877
cell_02549,0.29396048,0.24586467,NPC,-1,Batch_2,0.9858,2.2966475,0.57194066,0.9981093,0.32925242
cell_02550,0.54330915,0.9794913,Excitatory_Neuron,0,Batch_2,0.76960635,0.41201642,0.71289563,0.15991327,0.6597489
cell_02551,0.49928024,0.95191956,Excitatory_Neuron,0,Batch_2,1.0251224,0.14318839,0.77781904,0.19023924,0.67061377
cell_02552,0.6437405,0.9971985,OPC,5,Batch_1,1.1098231,0.01055085,0.7056698,0.6947866,1.4052199
cell_02553,0.9500018,0.99999386,Inhibitory_Neuron,1,Batch_2,1.0524445,0.006451692,0.6422031,0.7594966,1.236568
cell_02554,0.2852211,0.21491012,NPC,-1,Batch_2,0.90040857,0.46412605,0.5204538,0.5270613,0.33557934
cell_02555,0.69277155,0.9989474,Oligodendrocyte,3,Batch_1,0.9155744,0.04309027,0.81435233,0.9826691,1.2178562
cell_02556,0.025040204,0.0015023879,NPC,-1,Batch_2,0.89123005,0.0019419855,0.6988777,0.03890888,0.06179773
cell_02557,0.26238847,0.14776608,NPC,-1,Batch_1,0.931224,0.055860724,0.7155157,0.6208209,0.3159038
cell_02558,0.46371973,0.9067341,OPC,5,Batch_2,0.97384745,0.68505245,0.68758327,0.60646933,1.1744941
cell_02559,0.030994788,0.0016920783,NPC,-1,Batch_1,1.1334239,0.24296498,0.60613817,0.32124478,0.05527287
cell_02560,0.61766946,0.9952902,Oligodendrocyte,3,Batch_3,1.1721474,0.6931044,0.6105494,0.89944047,1.0965921
cell_02561,0.67831063,0.9985949,Astrocyte,2,Batch_2,0.9084376,0.04309112,0.52540034,0.5528817,1.0237108
cell_02562,0.7467317,0.999642,Astrocyte,2,Batch_1,1.172203,0.1769427,0.7830396,0.24634027,1.1732079
cell_02563,0.5165745,0.96549344,Inhibitory_Neuron,1,Batch_2,0.76452994,0.57243735,0.60874915,0.088358514,0.75447917
cell_02564,0.60394466,0.9938117,Astrocyte,2,Batch_3,1.0815532,0.86698645,0.6194245,0.1071189,0.86068463
cell_02565,0.39606526,0.71530795,OPC,5,Batch_1,1.0513356,1.6470336,0.8974,0.8973293,1.0339866
cell_02566,0.041253034,0.002076611,NPC,-1,Batch_2,1.1173966,0.6385299,0.654325,0.25030875,0.02547006
cell_02567,0.099951856,0.006686453,NPC,-1,Batch_3,1.2748618,0.6317573,0.7042789,0.9070053,0.10988566
cell_02568,0.6549959,0.99776196,Microglia,4,Batch_3,1.016686,0.2253449,0.65458924,0.12011791,1.3261924
cell_02569,0.9955553,0.99999756,Inhibitory_Neuron,1,Batch_2,0.717396,0.0037668068,0.61607647,0.98393524,1.4747827
cell_02570,0.015803238,0.0012492833,NPC,-1,Batch_1,1.1367371,0.49771777,0.5023403,0.83334905,-0.10397716
cell_02571,0.5575835,0.9845057,Inhibitory_Neuron,1,Batch_2,1.4611344,0.54391724,0.8419545,0.116228744,0.8043205
cell_02572,0.75100875,0.99967134,OPC,5,Batch_1,1.0344889,0.22270763,0.6892615,0.0860565,1.5046898
cell_02573,0.82677484,0.99992776,Excitatory_Neuron,0,Batch_2,1.0849928,0.05176871,0.7879561,0.8034372,0.9831053
cell_02574,0.5452049,0.9802392,Microglia,4,Batch_3,0.8188519,1.3873693,0.88346267,0.07806625,1.1613928
cell_02575,0.61991596,0.9954962,Inhibitory_Neuron,1,Batch_2,1.0744574,0.34526938,0.50113255,0.26218098,0.8713886
cell_02576,0.69672495,0.9990273,Oligodendrocyte,3,Batch_3,1.092061,0.018741658,0.77001584,0.8012498,1.1779982
cell_02577,0.85896623,0.99996203,Microglia,4,Batch_1,0.6984855,0.046211213,0.54745626,0.90758,1.5122216
cell_02578,0.12228954,0.010413242,NPC,-1,Batch_3,0.8444311,1.0582453,0.683186,0.76765203,0.17457578
cell_02579,0.9261822,0.9999901,Astrocyte,2,Batch_1,1.0462462,0.014238839,0.8387128,0.8898928,1.3744922
cell_02580,0.026017403,0.0015319941,NPC,-1,Batch_1,0.9443759,0.17288914,0.52859837,0.5598883,0.0406525
cell_02581,0.83619976,0.99994016,Excitatory_Neuron,0,Batch_2,1.4416484,0.061657757,0.8958454,0.7796112,0.9742673
cell_02582,0.07674043,0.0042137005,NPC,-1,Batch_2,0.99357027,0.1817633,0.7323343,0.34418634,0.23304565
cell_02583,0.19462821,0.042801578,NPC,-1,Batch_1,0.91952974,0.2942191,0.65799737,0.78521407,0.2515295
cell_02584,0.0038941463,0.0009847701,NPC,-1,Batch_3,0.98535144,0.2582199,0.5078041,0.6797409,0.04279614
cell_02585,0.4452567,0.8704715,Microglia,4,Batch_1,1.190837,1.1960094,0.73472923,0.57483006,0.98891795
cell_02586,0.33435923,0.42242765,NPC,-1,Batch_2,1.0323156,0.8417286,0.6979562,0.99230134,0.41070977
cell_02587,0.16599292,0.024599027,NPC,-1,Batch_3,1.2470757,0.4436607,0.5861268,0.46977952,0.20827189
cell_02588,0.45109016,0.8830673,Inhibitory_Neuron,1,Batch_3,1.1612102,0.47132576,0.69617903,0.61924726,0.5657107
cell_02589,0.40237087,0.7402787,Inhibitory_Neuron,1,Batch_2,1.15653,0.16169654,0.5051157,0.5099057,0.567012
cell_02590,0.76766104,0.99976444,Astrocyte,2,Batch_2,0.95385516,0.18310416,0.89979106,0.26051134,1.124436
cell_02591,0.8931303,0.99998087,Inhibitory_Neuron,1,Batch_3,0.9833684,0.0071836542,0.63284576,0.33036548,1.1617335
cell_02592,0.65256727,0.99765086,Oligodendrocyte,3,Batch_3,0.8820446,0.6447263,0.69208884,0.97878575,1.0895888
cell_02593,0.12441039,0.010859542,NPC,-1,Batch_1,1.1408192,0.9689622,0.81391126,0.39211047,0.15148526
cell_02594,0.29539078,0.25120723,NPC,-1,Batch_2,1.1476939,1.1752735,0.7851113,0.6794063,0.42433688
cell_02595,0.9133183,0.9999872,Excitatory_Neuron,0,Batch_1,0.9133631,0.0020385718,0.8554236,0.56709725,1.1025064
cell_02596,0.08873449,0.005349916,NPC,-1,Batch_1,0.9726085,0.024100576,0.8765303,0.88980526,0.047417868
cell_02597,0.40685585,0.7571499,Inhibitory_Neuron,1,Batch_3,0.88298815,0.029580796,0.57567114,0.7576901,0.5566818
cell_02598,0.94250464,0.99999285,OPC,5,Batch_1,0.8530221,0.0065287324,0.65615994,0.0806514,1.712153
cell_02599,0.9506648,0.9999939,Excitatory_Neuron,0,Batch_2,0.8232632,0.0058135977,0.7747268,0.35544187,1.0700175
cell_02600,0.41120318,0.77277786,Astrocyte,2,Batch_2,0.99736017,1.4626919,0.5180097,0.7119135,0.74866664
cell_02601,0.6673969,0.9982527,Oligodendrocyte,3,Batch_1,1.046307,0.067221634,0.786778,0.1613568,1.2285312
cell_02602,0.4567456,0.8942504,OPC,5,Batch_2,1.1118425,0.25573197,0.50195336,0.5034392,1.1192995
cell_02603,0.7534605,0.9996871,Astrocyte,2,Batch_3,0.8584866,0.1892396,0.8656354,0.31776905,1.1479594
cell_02604,0.03158133,0.0017120105,NPC,-1,Batch_1,1.0630012,0.55108124,0.7872678,0.06475423,0.016449563
cell_02605,0.14415716,0.016034361,NPC,-1,Batch_2,1.048694,0.5820598,0.7261997,0.99714607,0.1415072
cell_02606,0.6141988,0.9949534,Microglia,4,Batch_3,0.9485974,0.050617654,0.6715604,0.9293646,1.2265173
cell_02607,0.23255226,0.08714889,NPC,-1,Batch_1,1.0189642,1.0038806,0.8952099,0.74752617,0.24589744
cell_02608,0.6660523,0.9982052,Excitatory_Neuron,0,Batch_3,1.1687032,0.09876465,0.7946047,0.20102583,0.75884277
cell_02609,0.35122293,0.5061143,Inhibitory_Neuron,1,Batch_1,1.0661845,2.959713,0.82291716,0.98852617,0.46050295
cell_02610,0.88664556,0.9999782,OPC,5,Batch_1,1.0530703,0.020837808,0.830154,0.63079226,1.667204
cell_02611,0.8192594,0.9999161,OPC,5,Batch_1,0.8382212,0.025825731,0.50874996,0.9660754,1.6364617
cell_02612,0.4928378,0.94566685,Astrocyte,2,Batch_1,1.0532357,2.1380298,0.5218738,0.042578906,0.8667708
cell_02613,0.7728951,0.9997878,Astrocyte,2,Batch_2,1.2021877,0.09574553,0.579346,0.17347072,1.2420738
cell_02614,0.2711379,0.1711864,NPC,-1,Batch_3,0.93054557,0.7886175,0.76208705,0.67724687,0.2916397
cell_02615,0.49425977,0.9471097,Astrocyte,2,Batch_1,1.2288098,0.5943659,0.74957967,0.9071797,0.8756522
cell_02616,0.19748205,0.04520198,NPC,-1,Batch_2,1.3974807,0.05777952,0.63006544,0.17578222,0.18184683
cell_02617,0.86088616,0.99996346,Excitatory_Neuron,0,Batch_1,0.9584719,0.033569682,0.8891995,0.31709823,1.0685264
cell_02618,0.8230676,0.9999222,OPC,5,Batch_1,1.1349998,4.8442253e-06,0.53724265,0.5881773,1.6698905
cell_02619,0.9021497,0.999984,Microglia,4,Batch_3,0.7767573,0.0033925367,0.8106881,0.999661,1.5874987
cell_02620,0.877477,0.9999738,Astrocyte,2,Batch_3,1.1464725,0.017571654,0.69235086,0.7996651,1.376063
cell_02621,0.9595963,0.99999493,Inhibitory_Neuron,1,Batch_1,0.9200271,0.00081078795,0.6675337,0.92356277,1.2415789
cell_02622,0.22833623,0.08067022,NPC,-1,Batch_1,1.091684,0.01869802,0.510226,0.6750125,0.26729193
cell_02623,0.93182427,0.9999912,Inhibitory_Neuron,1,Batch_1,1.0313251,0.013201993,0.7911199,0.87737125,1.192405
cell_02624,0.5712132,0.9881589,Excitatory_Neuron,0,Batch_3,0.78524286,1.0874518,0.8086302,0.50704503,0.6871953
cell_02625,0.4224951,0.8099833,Oligodendrocyte,3,Batch_1,1.2372789,0.9472867,0.627583,0.124158636,0.8804778
cell_02626,0.5603739,0.9853344,Astrocyte,2,Batch_1,1.1100081,1.4357561,0.70678514,0.7095574,0.9137504
cell_02627,0.34260234,0.4630791,NPC,-1,Batch_3,1.0130435,2.4915025,0.74257684,0.60147494,0.3874159
cell_02628,0.288553,0.22636703,NPC,-1,Batch_1,0.9705259,0.31956738,0.64705807,0.48535007,0.3217278
cell_02629,0.24131434,0.10213601,NPC,-1,Batch_1,0.93639743,2.1555185,0.7462328,0.27499092,0.30683574
cell_02630,0.082427986,0.0047189435,NPC,-1,Batch_2,0.9295062,0.100957304,0.6736508,0.784203,0.09094924
cell_02631,0.4965649,0.9493721,Excitatory_Neuron,0,Batch_3,1.3112298,0.9335911,0.85122794,0.8204101,0.5382877
cell_02632,0.88776165,0.99997866,Oligodendrocyte,3,Batch_3,0.99385417,0.024261951,0.7874053,0.36418563,1.3304497
cell_02633,0.630152,0.9963269,OPC,5,Batch_2,1.3583772,0.026433552,0.5442,0.92776656,1.3264079
cell_02634,0.52097565,0.9683088,Excitatory_Neuron,0,Batch_1,1.1303442,0.05035204,0.81984127,0.3697417,0.55605733
cell_02635,0.42859292,0.82804835,Astrocyte,2,Batch_1,1.0759368,0.555201,0.63500226,0.1075625,0.712533
cell_02636,0.46440163,0.907881,Astrocyte,2,Batch_1,1.3382473,2.431547,0.87422734,0.16652837,0.77611667
cell_02637,0.20927735,0.056548137,NPC,-1,Batch_3,1.103921,1.7513807,0.7413485,0.49451548,0.24382786
cell_02638,0.8229359,0.999922,Excitatory_Neuron,0,Batch_2,1.3752413,0.03545291,0.5110312,0.079863,0.95422274
cell_02639,0.19838296,0.045986027,NPC,-1,Batch_3,0.99730146,1.1988767,0.7937451,0.7184125,0.34761962
cell_02640,0.71662277,0.99934644,Astrocyte,2,Batch_1,1.0936472,0.0027453618,0.5522937,0.79509586,1.0368922
cell_02641,0.759985,0.99972534,Oligodendrocyte,3,Batch_2,1.0621781,0.20307423,0.85090697,0.54946834,1.3324426
cell_02642,0.57486904,0.9889846,Excitatory_Neuron,0,Batch_2,1.2560405,1.3296211,0.8793321,0.89334846,0.6817145
cell_02643,0.86292636,0.99996495,Excitatory_Neuron,0,Batch_2,0.76975757,0.029101446,0.77810234,0.95428646,1.0026354
cell_02644,0.29105034,0.23523332,NPC,-1,Batch_3,1.0505896,2.5258932,0.71314913,0.44758108,0.37863922
cell_02645,0.88161725,0.99997586,Microglia,4,Batch_2,0.7752379,0.026006682,0.7408252,0.08912717,1.5152968
cell_02646,0.72941047,0.9994939,Inhibitory_Neuron,1,Batch_1,0.84747225,0.006473903,0.67154205,0.23126411,0.9549443
cell_02647,0.7987498,0.99987346,Oligodendrocyte,3,Batch_3,0.8565961,0.09411265,0.53343314,0.657616,1.4079903
cell_02648,0.6645797,0.9981516,Oligodendrocyte,3,Batch_3,1.0800884,0.22461699,0.8715374,0.40578437,1.0477726
cell_02649,0.84634304,0.9999512,Microglia,4,Batch_3,0.8484928,0.01222658,0.6316746,0.6850094,1.4833679
cell_02650,0.99309886,0.9999974,Oligodendrocyte,3,Batch_2,0.68940896,0.00012795562,0.6251391,0.6667352,1.5612222
cell_02651,0.42016286,0.8027002,Microglia,4,Batch_1,0.782911,0.53697413,0.5765299,0.60536814,1.0545965
cell_02652,0.81391567,0.9999066,Oligodendrocyte,3,Batch_3,0.71761453,0.06911903,0.8969633,0.15783256,1.3167772
cell_02653,0.74457973,0.9996263,Astrocyte,2,Batch_1,0.9708784,0.12078992,0.8770258,0.2859153,1.2665465
cell_02654,0.45287016,0.88669354,Inhibitory_Neuron,1,Batch_1,1.1403743,2.2502315,0.63977295,0.37786162,0.70140016
cell_02655,0.926949,0.9999903,Inhibitory_Neuron,1,Batch_1,1.1752205,0.014505952,0.6040022,0.824418,1.1139742
cell_02656,0.39442593,0.70858437,Inhibitory_Neuron,1,Batch_1,1.5386102,2.3406727,0.8221478,0.68222284,0.52062696
cell_02657,0.5654659,0.9867356,Excitatory_Neuron,0,Batch_1,1.0870198,0.15116414,0.669044,0.64493424,0.6904058
cell_02658,0.10594235,0.0075311125,NPC,-1,Batch_1,1.0001291,0.940997,0.88711524,0.6721373,0.06993751
cell_02659,0.2257752,0.076952234,NPC,-1,Batch_1,1.3340747,0.015014264,0.8604867,0.5032021,0.2983219
cell_02660,0.84069616,0.99994534,Inhibitory_Neuron,1,Batch_2,0.80760247,0.061279997,0.80378056,0.039631717,1.106149
cell_02661,0.3965527,0.71728915,Inhibitory_Neuron,1,Batch_3,1.0271211,1.6354563,0.53596973,0.20112069,0.53606194
cell_02662,0.3940841,0.7071706,Excitatory_Neuron,0,Batch_1,0.9973048,1.789388,0.78085107,0.14030215,0.42467144
cell_02663,0.24598102,0.111018494,NPC,-1,Batch_2,0.79227376,1.1425387,0.89490175,0.063996665,0.3377729
cell_02664,0.49161035,0.9443916,Inhibitory_Neuron,1,Batch_2,0.72478575,1.8614808,0.649317,0.31947663,0.60878474
cell_02665,0.80581695,0.99989015,Oligodendrocyte,3,Batch_3,0.8947477,0.092413485,0.8526276,0.7877302,1.3792441
cell_02666,0.89516413,0.9999816,Astrocyte,2,Batch_1,1.0376217,0.019849777,0.66325676,0.1151318,1.3679237
cell_02667,0.070114434,0.0036926502,NPC,-1,Batch_1,0.7634042,0.777516,0.8885296,0.11142252,0.067566976
cell_02668,0.57482076,0.98897403,Microglia,4,Batch_2,1.0706182,0.038833883,0.7614365,0.12426402,1.0995628
cell_02669,0.46727335,0.9125733,Astrocyte,2,Batch_1,1.0680212,2.3534622,0.5386002,0.2698217,0.82852125
cell_02670,0.61428183,0.9949617,Microglia,4,Batch_1,0.83912283,0.9799244,0.6916183,0.20220713,1.1928203
cell_02671,0.4472757,0.8749566,Microglia,4,Batch_1,0.8791733,0.86113656,0.5198915,0.013961117,0.94097495
cell_02672,0.39864483,0.72569644,Excitatory_Neuron,0,Batch_1,0.77430445,1.5141158,0.6580303,0.2765023,0.5738308
cell_02673,0.4718807,0.919651,OPC,5,Batch_1,1.0361362,0.59289116,0.86615247,0.99629444,1.1220362
cell_02674,0.5819991,0.9904345,Excitatory_Neuron,0,Batch_2,1.2166977,0.20382446,0.5928809,0.33648643,0.6247914
cell_02675,0.50098324,0.9534546,Astrocyte,2,Batch_1,0.8032801,1.8804634,0.8802271,0.21125904,0.8554324
cell_02676,0.47214445,0.9200399,Microglia,4,Batch_1,1.01565,0.003567963,0.5399692,0.49571392,1.043181
cell_02677,0.81783533,0.99991363,Inhibitory_Neuron,1,Batch_3,0.6277369,0.017975414,0.76592463,0.22936846,1.1757118
cell_02678,0.74564797,0.99963415,Astrocyte,2,Batch_1,1.0194849,0.13262223,0.8862742,0.5596452,1.1157516
cell_02679,0.34137848,0.45699897,NPC,-1,Batch_1,1.2232512,2.9959662,0.7616614,0.40065584,0.39115638
cell_02680,0.8005771,0.99987805,Inhibitory_Neuron,1,Batch_1,0.6942659,0.007888471,0.85960156,0.89684135,1.097454
cell_02681,0.8536507,0.9999578,Excitatory_Neuron,0,Batch_3,0.79454017,0.050711215,0.8964122,0.92791927,1.0343567
cell_02682,0.15349221,0.019262288,NPC,-1,Batch_2,0.96656823,0.17798351,0.75673735,0.7130613,0.19569254
cell_02683,0.5826825,0.99056315,Excitatory_Neuron,0,Batch_1,1.0675579,0.416505,0.81290555,0.21569425,0.71281654
cell_02684,0.285312,0.21521705,NPC,-1,Batch_1,0.84905475,0.14719185,0.5127941,0.47389856,0.35060522
cell_02685,0.73917234,0.9995836,Excitatory_Neuron,0,Batch_2,0.97338176,0.2472292,0.6709241,0.30542317,0.8661826
cell_02686,0.23878533,0.097590044,NPC,-1,Batch_2,1.0112133,2.4607277,0.61530614,0.7982775,0.3281763
cell_02687,0.6714035,0.99838704,Excitatory_Neuron,0,Batch_2,1.0494783,0.56270903,0.8296741,0.02917411,0.7876894
cell_02688,0.25512466,0.13039091,NPC,-1,Batch_1,0.99895316,2.0271988,0.7710312,0.6624917,0.3463671
cell_02689,0.51114374,0.9616861,Oligodendrocyte,3,Batch_2,1.0757549,1.9799927,0.7457657,0.32322684,1.0427606
cell_02690,0.9486465,0.9999937,Astrocyte,2,Batch_2,0.77010965,0.0072332495,0.8726235,0.4810046,1.3444988
cell_02691,0.38130754,0.65161616,Astrocyte,2,Batch_1,1.0422528,0.5173828,0.53554714,0.32299498,0.8177932
cell_02692,0.8757385,0.9999729,Oligodendrocyte,3,Batch_2,0.97823364,0.031046677,0.8815365,0.36479002,1.3752556
cell_02693,0.98694456,0.9999971,Excitatory_Neuron,0,Batch_3,0.83587366,0.0027616427,0.5403059,0.67436266,1.1490641
cell_02694,0.87485087,0.9999724,Inhibitory_Neuron,1,Batch_2,0.90463173,0.022972643,0.638807,0.59549433,1.1968206
cell_02695,0.16586603,0.024538212,NPC,-1,Batch_3,1.0899649,0.4826871,0.75210947,0.24408925,0.22111736
cell_02696,0.8196582,0.99991673,Microglia,4,Batch_2,1.2210026,0.04139901,0.6365905,0.04363763,1.4671806
cell_02697,0.032149397,0.0017315382,NPC,-1,Batch_2,1.2523249,0.24549279,0.7730145,0.8560218,0.07949183
cell_02698,0.39330187,0.70392054,OPC,5,Batch_2,1.0508031,1.727102,0.81016743,0.49230668,1.0845938
cell_02699,0.8707334,0.99997,Inhibitory_Neuron,1,Batch_1,1.3293734,0.00082680973,0.83140236,0.61873025,1.2681671
cell_02700,0.68875223,0.9988594,Excitatory_Neuron,0,Batch_1,0.866866,0.02492543,0.57173747,0.48849928,0.8238414
cell_02701,0.5327404,0.97478575,Microglia,4,Batch_1,1.0629859,0.10007528,0.5728307,0.61894023,1.0765638
cell_02702,0.38786402,0.680763,OPC,5,Batch_2,0.762772,0.067521125,0.5209256,0.6269725,1.0378513
cell_02703,0.8122969,0.9999035,Inhibitory_Neuron,1,Batch_3,0.8096582,0.00043858506,0.69634074,0.015040536,1.1183226
cell_02704,0.7095584,0.9992474,Inhibitory_Neuron,1,Batch_3,1.0572475,0.097215585,0.5550134,0.5332591,0.99576765
cell_02705,0.4684053,0.9143627,Excitatory_Neuron,0,Batch_2,0.8612954,2.397171,0.6274388,0.502108,0.57241017
cell_02706,0.89248437,0.99998057,Astrocyte,2,Batch_1,1.1532902,0.02603661,0.8361737,0.095817514,1.268506
cell_02707,0.22994801,0.08309345,NPC,-1,Batch_2,1.3083816,0.73121417,0.87946355,0.74588186,0.33137003
cell_02708,0.17039151,0.026800467,NPC,-1,Batch_1,1.4540917,0.43413347,0.82883036,0.23585936,0.30131933
cell_02709,0.6428038,0.9971457,OPC,5,Batch_2,0.7663839,0.6857421,0.50025934,0.05452535,1.3728257
cell_02710,0.97199434,0.99999607,Oligodendrocyte,3,Batch_1,0.914925,0.0009487107,0.7272097,0.803159,1.6169235
cell_02711,0.24725658,0.11356137,NPC,-1,Batch_1,1.4140152,1.122534,0.56666404,0.86513174,0.3400207
cell_02712,0.24967039,0.1185125,NPC,-1,Batch_1,1.0237689,2.4675431,0.6502988,0.24069476,0.41053882
cell_02713,0.13949884,0.014628846,NPC,-1,Batch_1,0.8760439,1.451078,0.67116755,0.68754554,0.19103082
cell_02714,0.8605636,0.9999632,Inhibitory_Neuron,1,Batch_3,1.0242575,0.032823354,0.8771763,0.0049506743,1.1595064
cell_02715,0.22639754,0.07784101,NPC,-1,Batch_1,1.029014,1.5289732,0.7534955,0.72115,0.31379712
cell_02716,0.50317854,0.9553648,Oligodendrocyte,3,Batch_3,0.8726596,0.14890581,0.60706204,0.46482044,0.942135
cell_02717,0.9908725,0.99999726,Microglia,4,Batch_1,0.79219717,0.0005337082,0.7571179,0.7924831,1.6894028
cell_02718,0.012140901,0.0011611506,NPC,-1,Batch_1,1.2779497,0.17555788,0.8807462,0.39303398,0.081104904
cell_02719,0.55648607,0.98416734,Astrocyte,2,Batch_1,1.1834311,1.1121486,0.52366364,0.35107574,0.94875884
cell_02720,0.51228905,0.9625212,Microglia,4,Batch_1,0.9805481,1.2807235,0.8263951,0.84078485,1.093199
